Usuario/rol
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
id	string	Sí	Identificador interno del usuario autenticado.	src/lib/auth-users.ts	user_01	Persistido en tabla "user" de Better Auth.
name	string	Sí	Nombre del usuario.	src/lib/auth-users.ts	Brayan Navarro	Se captura en registro o se deriva del correo al invitar.
email	string	Sí	Correo electrónico usado para autenticación.	src/lib/auth-users.ts; src/app/register/register-form.tsx	brayan@example.com	Debe tener formato de email en el formulario.
role	enum	Sí	Rol de autorización del usuario.	src/lib/auth-role-values.ts	docente	Valores: docente, docente-organizador, docente-investigador, admin, estudiante.
createdAt	string | null	No	Fecha de creación del usuario.	src/lib/auth-users.ts	2026-06-01T10:30:00.000Z	Campo persistido por Better Auth; puede venir nulo.
updatedAt	string	No	Fecha de última actualización del usuario.	src/app/admin/actions.ts	2026-06-05T14:10:00.000Z	Se actualiza al cambiar el rol; verificar campos completos generados por Better Auth.
providers	string[]	Derivado	Proveedores de autenticación vinculados.	src/lib/auth-users.ts	google	Derivado con GROUP_CONCAT desde tabla account; no es campo directo de user.


Viaje
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
id	string	Sí	Identificador lógico del viaje.	src/lib/schema/viajes.ts	viaje-2026-tilata	El documento CouchDB también puede tener _id/_rev.
type	string literal	Sí	Tipo documental.	src/lib/schema/viajes.ts	viaje	Siempre "viaje".
servicio	string	Sí	Servicio o campaña del viaje.	src/lib/schema/viajes.ts	Medicina Familiar	Requerido y no vacío en CreateViajeSchema.
fechaEntrada	string	Sí	Fecha inicial del viaje.	src/lib/schema/viajes.ts	2026-07-01	Al crear debe ser hoy o futura.
fechaSalida	string	Sí	Fecha final del viaje.	src/lib/schema/viajes.ts	2026-07-05	Debe ser posterior o igual a fechaEntrada.
establecimiento.nombre	string	Sí	Nombre del establecimiento de salud.	src/lib/schema/viajes.ts	Centro de Salud Tilata	Requerido y no vacío.
establecimiento.direccion	string	No	Dirección del establecimiento.	src/lib/schema/viajes.ts	Av. Principal s/n	Opcional.
establecimiento.contacto	string	No	Contacto del establecimiento.	src/lib/schema/viajes.ts	76543210	Opcional.


Estación del viaje
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
estaciones[]	object[]	Sí	Lista de estaciones configuradas para el viaje.	src/lib/schema/viajes.ts	[{}]	Cada tipo de estación solo puede seleccionarse una vez.
estaciones[].tipo	enum	Sí	Tipo de estación del viaje.	src/lib/schema/viajes.ts	Anamnesis	Valores definidos en tiposEstacion.
estaciones[].docenteEncargadoId	string	Sí	Usuario docente encargado de la estación.	src/lib/schema/viajes.ts	user_docente_01	En formulario se recibe como docenteEncargado y se persiste como docenteEncargadoId.
estaciones[].estudiantesIds	string[]	Sí	Usuarios estudiantes asignados a la estación.	src/lib/schema/viajes.ts	["user_est_01"]	En formulario se recibe como estudiantes y se persiste como estudiantesIds.


Paciente
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
type	string literal	Sí	Tipo documental.	src/lib/schema/pacientes.ts	paciente	Siempre "paciente".
datosPersonales.nombres	string	Sí	Nombres del paciente.	src/lib/schema/pacientes.ts	Juan Carlos	Requerido.
datosPersonales.apellidoPaterno	string	Sí	Apellido paterno del paciente.	src/lib/schema/pacientes.ts	Mamani	Requerido.
datosPersonales.apellidoMaterno	string	Sí	Apellido materno del paciente.	src/lib/schema/pacientes.ts	Quispe	Requerido.
datosPersonales.fechaNacimiento	Date	Sí	Fecha de nacimiento del paciente.	src/lib/schema/pacientes.ts	1995-03-18	Se coerciona a Date.
datosPersonales.documentoIdentidad	enum	Sí	Tipo de documento de identidad.	src/lib/schema/pacientes.ts	CI	Valores: CI, Pasaporte.
datosPersonales.numeroDocumentoIdentidad	string	Sí	Número de documento de identidad.	src/lib/schema/pacientes.ts	8308424	TODO en código indica regex pendiente; verificar en implementación.
genero	enum	Sí	Género del paciente.	src/lib/schema/pacientes.ts	Femenino	Valores: Masculino, Femenino, Indeterminado.
lugarNacimiento.pais	string	Sí	País de nacimiento.	src/lib/schema/pacientes.ts	Bolivia	Requerido.
lugarNacimiento.departamento	string	Sí	Departamento de nacimiento.	src/lib/schema/pacientes.ts	La Paz	Requerido.
lugarNacimiento.distrito	string	No	Distrito de nacimiento.	src/lib/schema/pacientes.ts	Viacha	Opcional.
nacionalidad	string	Sí	Nacionalidad del paciente.	src/lib/schema/pacientes.ts	Boliviana	Requerido.
etnia	string	No	Etnia declarada.	src/lib/schema/pacientes.ts	Aymara	Opcional.
padres[]	object[]	No	Datos de padres/tutores asociados.	src/lib/schema/pacientes.ts	[{}]	Arreglo opcional.
padres[].datosPersonales.nombres	string	Sí si existe padre/tutor	Nombres del padre/tutor.	src/lib/schema/pacientes.ts	María	Obligatorio dentro de cada item de padres[].
padres[].datosPersonales.apellidoPaterno	string	Sí si existe padre/tutor	Apellido paterno del padre/tutor.	src/lib/schema/pacientes.ts	Quispe	Obligatorio dentro de cada item de padres[].
padres[].datosPersonales.apellidoMaterno	string	Sí si existe padre/tutor	Apellido materno del padre/tutor.	src/lib/schema/pacientes.ts	López	Obligatorio dentro de cada item de padres[].
padres[].datosPersonales.fechaNacimiento	Date	Sí si existe padre/tutor	Fecha de nacimiento del padre/tutor.	src/lib/schema/pacientes.ts	1970-01-20	Obligatorio dentro de cada item de padres[].
padres[].datosPersonales.documentoIdentidad	enum	Sí si existe padre/tutor	Tipo de documento del padre/tutor.	src/lib/schema/pacientes.ts	CI	Valores: CI, Pasaporte.
padres[].datosPersonales.numeroDocumentoIdentidad	string	Sí si existe padre/tutor	Número de documento del padre/tutor.	src/lib/schema/pacientes.ts	4567890	Verificar validación final de formato.
padres[].relacion	string	Sí si existe padre/tutor	Relación con el paciente.	src/lib/schema/pacientes.ts	Madre	Obligatorio dentro de padres[].
padres[].asumeSustento	boolean	Sí si existe padre/tutor	Indica si asume el sustento económico.	src/lib/schema/pacientes.ts	true	Se coerciona a boolean.
padres[].numeroContacto	string	Sí si existe padre/tutor	Número de contacto del padre/tutor.	src/lib/schema/pacientes.ts	71234567	Verificar validación de teléfono en implementación.


Historia clínica
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
type	string literal	Sí	Tipo documental.	src/lib/schema/historia.ts	historia	Siempre "historia".
created_by	string	No	Usuario que creó la historia.	src/lib/schema/historia.ts	user_est_01	Campo de auditoría persistido cuando corresponde.
pacienteId	string	Sí	Referencia al documento paciente.	src/lib/schema/historia.ts	paciente-ci-8308424	Requerido.
viajeId	string	No	Referencia al viaje.	src/lib/schema/historia.ts	viaje-2026-tilata	El flujo espera viajeId para filtrar; aparece opcional en el tipo.
examenesComplementariosSolicitados	object	No	Banderas de complementarios solicitados.	src/lib/schema/historia.ts	{}	Persistido en historia; controla estaciones complementarias.
anamnesis	object	No	Bloque clínico de anamnesis.	src/lib/schema/historia.ts	{}	Se completa por estación.
examenFisicoGeneral	object	No	Bloque de examen físico general.	src/lib/schema/historia.ts	{}	Se completa por estación.
examenFisicoSegmentario	object	No	Bloque de examen físico segmentario.	src/lib/schema/historia.ts	{}	Se completa por estación.
electrocardiograma	object	No	Bloque de electrocardiograma.	src/lib/schema/historia.ts	{}	Solo debería aparecer si fue solicitado.
espirometria	object	No	Bloque de espirometría.	src/lib/schema/historia.ts	{}	Solo debería aparecer si fue solicitado.
ecografia	object	No	Bloque de ecografía.	src/lib/schema/historia.ts	{}	Solo debería aparecer si fue solicitado.
laboratorios	object	No	Bloque de laboratorios.	src/lib/schema/historia.ts	{}	Solo debería aparecer si fue solicitado.
diagnostico	object	No	Bloque de diagnóstico.	src/lib/schema/historia.ts	{}	Al guardarse puede encolar reporte de historia.
receta	object	No	Receta asociada a la historia.	src/lib/schema/historia.ts	{}	Tipo definido en farmacia.ts; verificar uso actual en implementación.
reporteHistoria	object	No	Último archivo PDF de reporte de historia.	src/lib/schema/historia.ts; src/lib/reports/historia-carbone-report.ts	{}	Persistido tras generación de reporte.
reportesHistoria[]	object[]	No	Historial de archivos PDF generados.	src/lib/schema/historia.ts; src/lib/reports/historia-carbone-report.ts	[{}]	Se acumula al generar nuevos reportes.
*.created_by	string	No	Usuario que creó un bloque clínico.	src/lib/schema/historia.ts	user_est_01	Aplica a bloques con Partial<AuditFields>.
*.updated_by	string	No	Usuario que actualizó un bloque clínico.	src/lib/schema/historia.ts	user_docente_01	Aplica a bloques con Partial<AuditFields>.


Exámenes complementarios solicitados
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
examenesComplementariosSolicitados.ecografia	boolean	No	Indica si se solicitó ecografía.	src/lib/schema/historia.ts	true	Controla aparición/pendiente de estación Ecografía.
examenesComplementariosSolicitados.laboratorios	boolean	No	Indica si se solicitaron laboratorios.	src/lib/schema/historia.ts	true	Controla aparición/pendiente de estación Laboratorios.
examenesComplementariosSolicitados.espirometria	boolean	No	Indica si se solicitó espirometría.	src/lib/schema/historia.ts	false	Controla aparición/pendiente de estación Espirometría.
