Anamnesis
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
anamnesis.estadoCivil	enum	Sí	Estado civil del paciente.	src/lib/schema/anamnesis.ts	Soltero	Valores definidos en estadosCiviles.
anamnesis.nivelEducativo	enum	Sí	Nivel educativo alcanzado.	src/lib/schema/anamnesis.ts	Secundaria concluida	Valores definidos en nivelesEducativos.
anamnesis.añosCursados	number	No	Años cursados.	src/lib/schema/anamnesis.ts	12	Opcional.
anamnesis.situacionLaboral	string	No	Situación laboral declarada.	src/lib/schema/anamnesis.ts	Agricultor	Opcional.
anamnesis.motivoConsulta	string	Sí	Motivo principal de consulta.	src/lib/schema/anamnesis.ts	Dolor abdominal	Requerido.
anamnesis.historiaEnfermedadActual	string	Sí	Relato de la enfermedad actual.	src/lib/schema/anamnesis.ts	Dolor de 3 días de evolución	Requerido.
anamnesis.antecedentesNoPatologicos.habitoTabaquico	enum	Sí	Hábito tabáquico.	src/lib/schema/anamnesis.ts	Nunca fumo	Valores definidos en habitosTabaco.
anamnesis.antecedentesNoPatologicos.consumoAlcohol	enum	Sí	Consumo de alcohol.	src/lib/schema/anamnesis.ts	No consume alcohol	Valores definidos en consumosAlcohol.
anamnesis.antecedentesNoPatologicos.realizaActividadFisica	boolean	Sí	Indica si realiza actividad física.	src/lib/schema/anamnesis.ts	true	Se coerciona a boolean.
anamnesis.antecedentesNoPatologicos.consumoFrutasVerduras	enum	Sí	Consumo de frutas y verduras.	src/lib/schema/anamnesis.ts	3 - 4 porciones al día	Valores definidos en porcionesFrutasVerduras.
anamnesis.antecedentesPatologicos.personales[]	object[]	Sí	Lista de antecedentes patológicos personales.	src/lib/schema/anamnesis.ts	[{}]	Arreglo requerido; puede estar vacío.
anamnesis.antecedentesPatologicos.personales[].enfermedad	object	Sí	Enfermedad personal codificada.	src/lib/schema/anamnesis.ts	{"code":"5A11","title":"Diabetes mellitus"}	Usa ICDSchema: iNo, code, title.
anamnesis.antecedentesPatologicos.personales[].fechaDiagnostico	Date	No	Fecha del diagnóstico personal.	src/lib/schema/anamnesis.ts	2020-05-01	Opcional.
anamnesis.antecedentesPatologicos.personales[].tratamiento	string	No	Tratamiento del antecedente personal.	src/lib/schema/anamnesis.ts	Metformina	Opcional.
anamnesis.antecedentesPatologicos.familiares[]	object[]	Sí	Lista de antecedentes familiares.	src/lib/schema/anamnesis.ts	[{}]	Arreglo requerido; puede estar vacío.
