Electrocardiograma
Campo	Tipo de dato	Obligatorio	Descripción	Origen o archivo fuente	Ejemplo de valor	Observaciones/reglas
electrocardiograma.ritmo	string	Sí	Ritmo cardíaco.	src/lib/schema/electrocardiograma.ts	Sinusal	Requerido.
electrocardiograma.frecuenciaCardiaca	number	Sí	Frecuencia cardíaca registrada en ECG.	src/lib/schema/electrocardiograma.ts	75	Requerido.
electrocardiograma.crecimientoAuriculaDerecha	boolean	Sí	Indica crecimiento de aurícula derecha.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.crecimientoAuriculaIzquierda	boolean	Sí	Indica crecimiento de aurícula izquierda.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.crecimientoVentriculoDerecho	boolean	Sí	Indica crecimiento de ventrículo derecho.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.crecimientoVentriculoIzquierdo	boolean	Sí	Indica crecimiento de ventrículo izquierdo.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.intervaloPR	number	Sí	Intervalo PR.	src/lib/schema/electrocardiograma.ts	160	Verificar unidad en implementación.
electrocardiograma.intervaloQTc	number	Sí	Intervalo QTc.	src/lib/schema/electrocardiograma.ts	420	Verificar unidad en implementación.
electrocardiograma.supraInfraDesnivelST	boolean	Sí	Indica supra/infra desnivel ST.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.derivacionSupraInfraDesnivelST	string	Sí	Derivación donde se observa supra/infra desnivel ST.	src/lib/schema/electrocardiograma.ts	DII	Actualmente requerido aunque supraInfraDesnivelST sea false; verificar regla condicional.
electrocardiograma.duracionOndaP	number	Sí	Duración de onda P.	src/lib/schema/electrocardiograma.ts	100	Verificar unidad en implementación.
electrocardiograma.duracionComplejoQRS	number	Sí	Duración del complejo QRS.	src/lib/schema/electrocardiograma.ts	90	Verificar unidad en implementación.
electrocardiograma.duracionOndaT	number	Sí	Duración de onda T.	src/lib/schema/electrocardiograma.ts	160	Verificar unidad en implementación.
electrocardiograma.extrasistoleSupraventricular	boolean	Sí	Indica extrasístole supraventricular.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.extrasistoleIntraventricular	boolean	Sí	Indica extrasístole intraventricular.	src/lib/schema/electrocardiograma.ts	false	Se coerciona a boolean.
electrocardiograma.diagnostico	string	Sí	Diagnóstico o interpretación del ECG.	src/lib/schema/electrocardiograma.ts	ECG dentro de parámetros normales	Requerido.
